-0.05850451, -0.02709424, -0.05228159
-0.08449291, -0.02691376, -0.07581785
-0.10988690, -0.02666348, -0.09953687
-0.13541140, -0.02575248, -0.12387950
-0.16146700, -0.02359921, -0.14938340
-0.18753370, -0.02004910, -0.17603260
-0.21373940, -0.01519281, -0.20285510
-0.24030710, -0.00902349, -0.22899760
-0.26714440, -0.00094694, -0.25526150
-0.29357600, 0.00894022, -0.28099880
-0.31895010, 0.02032202, -0.30491940
-0.34330060, 0.03293288, -0.32681240
-0.36702570, 0.04677957, -0.34726850
-0.39010810, 0.06197238, -0.36613960
-0.41263450, 0.07862705, -0.38322480
-0.43465160, 0.09679842, -0.39822410
-0.45569360, 0.11641370, -0.41089910
-0.47523510, 0.13746330, -0.42081860
-0.49250010, 0.16052110, -0.42655890
-0.50754550, 0.18405960, -0.43053950
-0.52056830, 0.20599930, -0.43610250
-0.53185980, 0.22470770, -0.44475280
-0.54111020, 0.24167100, -0.45445220
-0.54757330, 0.25948370, -0.46320840
-0.55075540, 0.28012250, -0.46953190
-0.55113080, 0.30268390, -0.47396760
-0.54901280, 0.32642630, -0.47656300
-0.54467440, 0.35072050, -0.47732380
-0.53838340, 0.37517580, -0.47654890
-0.53039100, 0.39930730, -0.47442260
-0.52093270, 0.42256710, -0.47107230
-0.51022960, 0.44440680, -0.46664520
-0.49848780, 0.46427710, -0.46130920
-0.48589880, 0.48162870, -0.45525420
-0.47255580, 0.49609140, -0.44868620
-0.45837330, 0.50800880, -0.44158970
-0.44353600, 0.51753520, -0.43373570
-0.42822240, 0.52479440, -0.42494450
-0.41242340, 0.52996030, -0.41540350
-0.39614630, 0.53319080, -0.40525830
-0.37943700, 0.53463290, -0.39457840
-0.36234520, 0.53438310, -0.38337730
-0.34492520, 0.53255750, -0.37166990
-0.32723660, 0.52933190, -0.35950830
-0.30933110, 0.52488170, -0.34694270
-0.29129820, 0.51937780, -0.33397270
-0.27333150, 0.51297720, -0.32048460
-0.25559870, 0.50583260, -0.30639210
-0.23809090, 0.49798650, -0.29183410
-0.22074350, 0.48946720, -0.27687900
-0.20348590, 0.48032370, -0.26156420
-0.18598450, 0.47068980, -0.24629390
-0.16821690, 0.46057920, -0.23100040
-0.15051660, 0.44985190, -0.21500920
-0.13290300, 0.43837490, -0.19782240
-0.11483310, 0.42625310, -0.17985570
-0.09658553, 0.41371850, -0.16134760
-0.07852456, 0.40098690, -0.14242270
-0.06044022, 0.38814430, -0.12323680
-0.04201623, 0.37503520, -0.10340990
-0.02302996, 0.36147120, -0.08241375
-0.00344449, 0.34737840, -0.05993399
0.01675465, 0.33291010, -0.03628138
0.03768356, 0.31821730, -0.01183718
0.05918557, 0.30350240, 0.01319626
0.08075863, 0.28906230, 0.03891376
0.10256670, 0.27503260, 0.06483489
0.12469030, 0.26154360, 0.09048375
0.14649750, 0.24873630, 0.11592670
0.16783070, 0.23674990, 0.14086870
0.18874410, 0.22573010, 0.16483250
0.20951290, 0.21540470, 0.18843380
0.22962310, 0.20555840, 0.21143690
0.24793430, 0.19644120, 0.23208460
0.26344030, 0.18807810, 0.24909260
0.27612020, 0.17955270, 0.26295140
0.28637980, 0.17026340, 0.27350210
0.29468770, 0.15973590, 0.28047750
0.30158990, 0.14830830, 0.28399820
0.30681810, 0.13614610, 0.28489970
0.30993920, 0.12322830, 0.28407220
0.31136310, 0.10957210, 0.28108420
0.31077640, 0.09517986, 0.27554710
0.30664300, 0.07998985, 0.26835120
0.29755240, 0.06353724, 0.25994580
0.28380320, 0.04561985, 0.24956060
0.26674500, 0.02848876, 0.23720090
0.24760990, 0.01440644, 0.22301830
0.22606750, 0.00322026, 0.20707850
0.20259950, -0.00565642, 0.18923940
0.17813660, -0.01246458, 0.16937610
0.15329580, -0.01744384, 0.14775610
0.12816590, -0.02088374, 0.12497780
0.10286280, -0.02310842, 0.10145130
0.07752421, -0.02443779, 0.07758719
0.05243405, -0.02518702, 0.05369967
0.02776837, -0.02567083, 0.03005552
0.00364193, -0.02615720, 0.00691539
-0.02027949, -0.02658212, -0.01588485
-0.04389666, -0.02688545, -0.03861019
